product_id,product_name,brand,category_l1,category_l2,category_l3,gender_target,season,material,care_instructions,sustainability_score,price_range,launch_date,is_active,created_at
P000156,Managed heuristic intranet Footwear,Pure Elegance 2,Footwear,Running,Accessories,Women,Fall,Cotton,Machine wash cold,34,$50-100,2024-04-21,t,2025-01-21 23:37:09
P000157,Upgradable background hub Jewelry,Metro Style 2,Jewelry,,,Men,Fall,Cashmere,Machine wash warm,23,$50-100,2024-06-18,t,2025-06-21 00:19:53
P000158,Enterprise-wide bifurcated initiative Footwear,Classic Craft 3,Footwear,Formal,Bottoms,Unisex,Winter,Polyester,Dry clean only,77,$50-100,2024-09-14,t,2024-08-02 21:30:03
P000159,Future-proofed human-resource solution Pants,Pure Elegance 2,Pants,Bottoms,,Unisex,All Season,Leather,Machine wash warm,91,$150-200,2024-10-01,t,2025-07-18 17:57:49
P000160,Operative solution-oriented website Yoga,Fresh Fashion,Yoga,Footwear,Accessories,Women,Fall,Cashmere,Machine wash cold,81,$30-50,2023-12-22,t,2024-02-03 13:16:37
P000161,De-engineered tangible success Running,Classic Craft,Running,Accessories,,Women,Spring,Wool,Machine wash warm,18,$30-50,2025-07-12,t,2023-11-11 13:32:38
P000162,Diverse bi-directional instruction set Tops,Coastal Chic,Tops,Running,,Women,Spring,Modal,Dry clean only,77,$50-100,2024-12-27,t,2025-09-03 18:47:38
P000163,Polarized non-volatile service-desk Footwear,Metro Style 3,Footwear,,,Women,Summer,Modal,Hand wash,67,$50-100,2024-02-13,t,2024-09-01 08:14:34
P000164,Seamless homogeneous time-frame Accessories,Modern Muse 2,Accessories,Mens Clothing,,Unisex,Winter,Wool,Machine wash warm,66,$30-50,2025-01-12,t,2024-07-01 13:03:51
P000165,Assimilated systemic superstructure Bottoms,Trend Tribe 2,Bottoms,Pants,,Unisex,Fall,Modal,Machine wash warm,88,$30-50,2024-01-05,t,2025-08-19 15:57:34
P000166,Polarized mobile budgetary management Bottoms,Luxe Label,Bottoms,Bottoms,,Women,Spring,Leather,Hand wash,87,$50-100,2024-08-10,t,2025-08-16 10:14:46
P000167,Organic 6thgeneration architecture Accessories,Coastal Chic 3,Accessories,,,Men,Summer,Linen,Dry clean only,91,$100-150,2025-02-15,t,2024-04-17 05:06:48
P000168,Intuitive 24/7 strategy Formal,Metro Style 2,Formal,Mens Clothing,,Men,Spring,Leather,Hand wash,46,$100-150,2025-03-05,t,2025-08-01 11:10:58
P000169,Progressive zero administration synergy Formal,Vintage Vibe 2,Formal,Bottoms,Jewelry,Women,All Season,Leather,Machine wash warm,52,$30-50,2025-04-10,f,2024-12-17 21:48:45
P000170,Re-contextualized directional secured line Bottoms,Style Studio 2,Bottoms,Accessories,,Men,Fall,Viscose,Dry clean only,16,$100-150,2024-06-14,t,2025-08-05 04:52:18
P000171,Programmable multi-state solution Tops,Vintage Vibe 3,Tops,Womens Clothing,,Unisex,Summer,Linen,Hand wash,20,$50-100,2025-01-18,t,2025-03-24 04:03:26
P000172,Cross-platform intermediate protocol Mens Clothing,Modern Muse 3,Mens Clothing,Formal,,Women,Summer,Linen,Hand wash,81,$100-150,2024-04-06,t,2025-04-13 10:04:14
P000173,Polarized grid-enabled protocol Running,Elite Edge,Running,Formal,Running,Women,Summer,Modal,Hand wash,21,$150-200,2025-02-05,t,2025-03-05 07:21:33
P000174,Networked coherent open architecture Womens Clothing,Style Studio 2,Womens Clothing,,Womens Clothing,Unisex,Fall,Modal,Dry clean only,83,$50-100,2025-01-14,f,2025-08-19 21:32:05
P000175,Business-focused 24/7 project Activewear,Vintage Vibe 3,Activewear,Running,Running,Men,Winter,Linen,Machine wash warm,31,$100-150,2024-01-25,t,2025-09-21 18:14:30
P000176,Profit-focused methodical methodology Footwear,Mode Moderne,Footwear,Womens Clothing,Jewelry,Women,Fall,Silk,Dry clean only,77,$150-200,2024-02-01,t,2025-08-02 07:22:41
P000177,Compatible web-enabled matrix Yoga,Bella Vista 2,Yoga,Accessories,,Men,All Season,Denim,Machine wash cold,71,$100-150,2024-03-31,t,2024-06-02 01:20:37
P000178,Managed even-keeled application Mens Clothing,Bella Vista 2,Mens Clothing,Pants,,Women,Fall,Cotton,Machine wash warm,49,$100-150,2024-03-16,t,2024-10-24 18:08:37
P000179,Reactive secondary implementation Tops,Trend Tribe,Tops,,,Women,Summer,Silk,Machine wash warm,63,$30-50,2025-06-21,t,2024-08-05 05:55:26
P000180,Front-line attitude-oriented knowledgebase Pants,Bold Basics 2,Pants,Bottoms,,Unisex,Summer,Silk,Hand wash,74,$30-50,2025-06-09,t,2024-09-06 00:34:36
P000181,Re-engineered local array Womens Clothing,Metro Style,Womens Clothing,Activewear,,Women,Fall,Leather,Machine wash cold,68,$150-200,2024-10-17,t,2025-07-23 08:16:35
P000182,Organized foreground capability Jewelry,Sunset Styles,Jewelry,Pants,,Unisex,Spring,Denim,Machine wash cold,51,$50-100,2025-04-26,t,2024-10-17 08:00:26
P000183,Streamlined 3rdgeneration benchmark Formal,Style Studio 2,Formal,Formal,Jewelry,Men,Fall,Viscose,Machine wash cold,79,$50-100,2024-08-11,t,2024-08-05 08:57:23
P000184,Automated next generation neural-net Bottoms,Elite Edge,Bottoms,Accessories,,Women,Summer,Wool,Machine wash warm,77,$50-100,2025-06-28,t,2023-09-27 03:27:35
P000185,Cross-group real-time process improvement Womens Clothing,Luxe Label 2,Womens Clothing,Tops,,Men,Winter,Viscose,Dry clean only,19,$100-150,2024-05-19,t,2025-02-03 04:52:05
P000186,Profound next generation database Activewear,Bella Vista 2,Activewear,Jewelry,,Men,All Season,Linen,Machine wash warm,43,$100-150,2025-02-28,t,2025-02-16 10:50:58
P000187,Persevering global hierarchy Activewear,Modern Muse 3,Activewear,Womens Clothing,,Women,All Season,Cashmere,Machine wash cold,39,$50-100,2023-11-07,t,2025-06-29 01:12:29
P000188,Face-to-face logistical groupware Footwear,Chic Collection 2,Footwear,Running,,Women,Summer,Modal,Machine wash cold,92,$50-100,2025-05-14,t,2024-12-05 02:15:52
P000189,Secured radical leverage Footwear,Fashion Forward 2,Footwear,Running,,Women,Summer,Cashmere,Dry clean only,87,$100-150,2025-02-17,t,2025-04-05 15:46:14
P000190,Multi-lateral transitional knowledge user Activewear,Coastal Chic,Activewear,,Womens Clothing,Women,Summer,Cashmere,Dry clean only,52,$30-50,2023-12-10,t,2023-12-24 13:50:44
P000191,Virtual stable definition Formal,Sunset Styles 2,Formal,,,Women,Summer,Cotton,Dry clean only,66,$100-150,2024-06-17,t,2023-09-28 17:15:00
P000192,Multi-channeled scalable website Accessories,Trend Tribe 2,Accessories,,,Men,Winter,Wool,Hand wash,68,$30-50,2024-11-24,t,2024-05-10 19:15:51
P000193,Programmable holistic standardization Accessories,Pure Elegance 2,Accessories,Yoga,,Women,All Season,Linen,Dry clean only,61,$100-150,2023-10-31,t,2023-12-18 14:17:10
P000194,Down-sized modular challenge Pants,Trend Tribe,Pants,Mens Clothing,,Women,Summer,Linen,Machine wash warm,88,$100-150,2025-04-04,f,2025-06-26 08:28:44
P000195,User-friendly uniform installation Footwear,Bella Vista 2,Footwear,Yoga,Bottoms,Men,Winter,Viscose,Hand wash,50,$30-50,2024-04-10,t,2023-12-19 02:12:11
P000196,Seamless dedicated core Tops,Vintage Vibe 3,Tops,Pants,,Women,Fall,Leather,Machine wash warm,95,$150-200,2025-09-17,t,2023-12-29 19:09:39
P000197,Object-based didactic knowledgebase Mens Clothing,Street Smart,Mens Clothing,,Formal,Women,Spring,Wool,Dry clean only,78,$50-100,2025-05-24,t,2025-06-28 11:05:57
P000198,Ergonomic transitional Graphical User Interface Womens Clothing,Trend Tribe,Womens Clothing,Formal,Mens Clothing,Unisex,Fall,Cashmere,Machine wash warm,91,$150-200,2025-05-06,t,2023-12-19 17:11:42
P000199,Operative 6thgeneration productivity Running,Sunset Styles,Running,,Formal,Unisex,Winter,Wool,Machine wash warm,83,$100-150,2025-03-01,f,2025-07-08 11:47:53
P000200,Reverse-engineered bottom-line throughput Running,Fresh Fashion 2,Running,Pants,,Women,All Season,Polyester,Machine wash cold,29,$30-50,2024-09-09,t,2025-08-19 15:48:07
P000201,Persevering stable parallelism Jewelry,Bold Basics,Jewelry,,Womens Clothing,Men,Winter,Cashmere,Hand wash,23,$50-100,2024-01-08,f,2024-10-22 15:13:12
P000202,Proactive 24hour moderator Womens Clothing,Coastal Chic,Womens Clothing,Activewear,Accessories,Women,All Season,Viscose,Dry clean only,63,$150-200,2023-11-02,t,2025-04-20 20:19:06
P000203,Reactive intermediate paradigm Footwear,Luxe Label 2,Footwear,Bottoms,,Women,Summer,Linen,Hand wash,1,$50-100,2025-09-12,t,2024-10-06 02:48:01
P000204,Profound zero-defect conglomeration Activewear,Chic Collection,Activewear,Mens Clothing,Running,Women,All Season,Cashmere,Machine wash cold,41,$50-100,2024-12-18,t,2025-03-17 08:42:46
P000205,Enhanced upward-trending capacity Running,Modern Muse 2,Running,Tops,,Women,Fall,Cotton,Dry clean only,49,$30-50,2024-07-22,f,2023-12-16 10:40:54
P000206,Switchable radical portal Pants,Elite Edge 2,Pants,,,Women,Fall,Cotton,Hand wash,83,$50-100,2024-06-01,t,2025-08-12 14:56:22
P000207,Profit-focused human-resource instruction set Mens Clothing,Classic Craft 3,Mens Clothing,Bottoms,,Men,Fall,Viscose,Machine wash cold,88,$50-100,2025-09-06,t,2025-01-12 00:45:40
P000208,Team-oriented well-modulated encryption Pants,Bella Vista 3,Pants,Mens Clothing,Tops,Unisex,All Season,Leather,Machine wash warm,47,$50-100,2024-07-31,t,2024-04-26 12:29:34
P000209,Mandatory explicit knowledge user Formal,Classic Craft 3,Formal,,,Women,Summer,Silk,Machine wash cold,87,$100-150,2024-01-07,t,2025-06-13 02:47:47
P000210,Devolved incremental portal Footwear,Street Smart 2,Footwear,Accessories,Activewear,Women,All Season,Viscose,Dry clean only,25,$150-200,2025-08-14,t,2025-03-23 17:30:29
P000211,User-friendly multimedia framework Accessories,Fresh Fashion,Accessories,,,Women,Winter,Modal,Machine wash warm,11,$150-200,2025-03-23,t,2025-07-12 20:20:33
P000212,Reactive foreground structure Footwear,Metro Style,Footwear,Jewelry,,Women,Fall,Leather,Machine wash cold,92,$100-150,2025-09-21,t,2025-04-21 07:35:28
P000213,Reactive responsive data-warehouse Pants,Modern Muse 2,Pants,,,Men,Winter,Cotton,Machine wash cold,44,$150-200,2024-03-06,t,2024-03-01 01:08:24
P000214,Secured transitional frame Womens Clothing,Pure Elegance 2,Womens Clothing,,Footwear,Women,Summer,Cashmere,Dry clean only,98,$50-100,2024-06-20,t,2025-03-13 07:39:30
P000215,Synergistic clear-thinking strategy Running,Vintage Vibe 3,Running,,,Unisex,Winter,Cashmere,Machine wash warm,48,$50-100,2024-02-11,t,2025-02-12 22:47:04
P000216,Profit-focused needs-based solution Running,Modern Muse,Running,,,Men,Spring,Denim,Machine wash warm,22,$50-100,2024-06-02,t,2025-02-02 16:33:07
P000217,Triple-buffered bifurcated task-force Tops,Street Smart 2,Tops,,Womens Clothing,Men,Winter,Linen,Machine wash warm,86,$50-100,2024-12-05,t,2024-06-26 14:29:04
P000218,Polarized optimal orchestration Jewelry,Pure Elegance 2,Jewelry,,Accessories,Men,Spring,Silk,Machine wash warm,4,$150-200,2025-03-30,t,2025-02-26 05:00:30
P000219,Operative systematic synergy Womens Clothing,Mode Moderne 2,Womens Clothing,Bottoms,Womens Clothing,Women,Summer,Cotton,Machine wash cold,94,$30-50,2025-07-10,t,2025-08-21 07:09:57
P000220,Public-key executive interface Footwear,Modern Muse 2,Footwear,Mens Clothing,,Unisex,All Season,Wool,Dry clean only,37,$100-150,2023-10-05,t,2025-06-15 20:11:21
P000221,Programmable bi-directional algorithm Activewear,Sunset Styles 3,Activewear,Activewear,,Men,Fall,Silk,Dry clean only,18,$50-100,2024-01-16,t,2024-07-18 20:14:00
P000222,Business-focused static approach Pants,Sunset Styles 2,Pants,Formal,,Women,Winter,Wool,Machine wash warm,71,$30-50,2024-04-20,t,2024-02-29 06:44:50
P000223,Versatile zero tolerance complexity Accessories,Metro Style,Accessories,,,Men,Winter,Denim,Dry clean only,52,$50-100,2025-03-09,t,2024-05-06 15:11:49
P000224,Function-based client-server approach Jewelry,Mode Moderne,Jewelry,Formal,,Men,Summer,Linen,Machine wash cold,59,$30-50,2025-05-27,t,2025-03-16 09:55:01
P000225,Implemented demand-driven system engine Jewelry,Trend Tribe 2,Jewelry,,,Unisex,Fall,Silk,Hand wash,26,$150-200,2023-10-21,t,2024-11-20 08:28:30
P000226,Multi-channeled local benchmark Bottoms,Urban Thread 3,Bottoms,,,Men,Spring,Silk,Machine wash warm,34,$50-100,2025-07-31,t,2025-01-17 13:23:49
P000227,Synergistic user-facing open architecture Activewear,Metro Style 3,Activewear,Bottoms,Activewear,Women,Summer,Viscose,Dry clean only,61,$100-150,2024-03-18,t,2025-07-29 18:06:35
P000228,User-friendly secondary open architecture Pants,Urban Thread 2,Pants,,Mens Clothing,Men,Winter,Polyester,Dry clean only,31,$30-50,2024-03-28,f,2024-07-25 01:40:08
P000229,Profound zero tolerance utilization Mens Clothing,Modern Muse 2,Mens Clothing,Pants,,Unisex,Fall,Denim,Hand wash,33,$100-150,2025-03-19,t,2025-06-08 11:24:46
P000230,Horizontal system-worthy secured line Footwear,Luxe Label 2,Footwear,Yoga,,Unisex,Fall,Silk,Machine wash warm,40,$100-150,2025-09-14,t,2023-11-02 12:03:52
P000231,Multi-tiered human-resource instruction set Activewear,Coastal Chic,Activewear,,,Men,All Season,Viscose,Machine wash warm,74,$50-100,2025-03-11,t,2025-05-31 03:45:35
P000232,Intuitive neutral application Tops,Chic Collection,Tops,Mens Clothing,,Unisex,All Season,Leather,Hand wash,83,$100-150,2025-04-25,t,2023-10-07 01:59:08
P000233,Function-based dedicated process improvement Footwear,Style Studio,Footwear,,,Women,Fall,Wool,Dry clean only,21,$30-50,2025-05-24,t,2025-08-01 20:49:59
P000234,Organic directional productivity Formal,Sunset Styles 3,Formal,Formal,,Women,Spring,Viscose,Machine wash cold,9,$100-150,2025-03-30,f,2025-03-27 07:32:02
P000235,Stand-alone holistic system engine Womens Clothing,Elite Edge 3,Womens Clothing,Running,Yoga,Unisex,All Season,Silk,Hand wash,58,$30-50,2024-11-23,t,2024-12-27 00:35:37
P000236,User-centric real-time customer loyalty Activewear,Metro Style,Activewear,Activewear,,Men,Spring,Cotton,Machine wash warm,68,$50-100,2025-04-11,t,2025-05-21 20:43:12
P000237,Ergonomic explicit knowledge user Womens Clothing,Bella Vista,Womens Clothing,Pants,,Unisex,Winter,Viscose,Machine wash cold,22,$100-150,2025-03-09,t,2024-02-11 19:45:16
P000238,Compatible contextually-based conglomeration Formal,Sunset Styles,Formal,Mens Clothing,,Unisex,Fall,Denim,Machine wash cold,50,$50-100,2024-10-29,t,2025-04-19 23:10:15
P000239,Decentralized homogeneous analyzer Jewelry,Metro Style 2,Jewelry,Mens Clothing,,Women,Spring,Polyester,Machine wash warm,11,$30-50,2024-04-29,t,2024-08-24 20:15:38
P000240,Realigned empowering capacity Jewelry,Classic Craft 2,Jewelry,Womens Clothing,,Women,Winter,Polyester,Hand wash,55,$100-150,2024-12-22,t,2024-01-30 00:13:38
P000241,Function-based 24hour groupware Bottoms,Style Studio 2,Bottoms,,,Unisex,Winter,Modal,Machine wash cold,34,$150-200,2025-03-30,t,2024-09-23 05:20:32
P000242,Distributed 6thgeneration collaboration Running,Classic Craft,Running,,,Unisex,Summer,Cotton,Machine wash cold,40,$50-100,2024-06-02,t,2025-09-17 07:10:52
P000243,Right-sized actuating time-frame Activewear,Street Smart,Activewear,Yoga,,Men,Summer,Linen,Dry clean only,72,$150-200,2025-01-23,f,2025-09-20 05:09:13
P000244,Seamless stable framework Jewelry,Style Studio 2,Jewelry,Formal,,Unisex,Spring,Wool,Hand wash,64,$30-50,2025-05-31,t,2024-10-12 00:49:42
P000245,Re-engineered neutral help-desk Bottoms,Metro Style,Bottoms,Bottoms,,Men,Winter,Modal,Hand wash,99,$30-50,2025-05-26,t,2023-11-22 14:53:33
P000246,Triple-buffered foreground moderator Running,Urban Thread,Running,Footwear,,Unisex,Winter,Cashmere,Machine wash warm,23,$50-100,2024-02-15,t,2024-03-15 20:41:06
P000247,Programmable asymmetric toolset Activewear,Modern Muse,Activewear,Mens Clothing,,Women,Winter,Wool,Dry clean only,91,$50-100,2024-01-27,t,2024-10-23 08:47:41
P000248,Operative needs-based monitoring Jewelry,City Casual 3,Jewelry,Bottoms,Pants,Men,Spring,Linen,Machine wash cold,16,$50-100,2023-12-06,t,2024-08-05 08:32:07
P000249,Monitored directional data-warehouse Jewelry,Bold Basics,Jewelry,Formal,,Women,Fall,Polyester,Machine wash cold,70,$50-100,2024-06-09,t,2025-02-23 05:44:49
P000250,Managed high-level frame Activewear,Chic Collection 2,Activewear,,,Men,Winter,Cashmere,Machine wash cold,99,$100-150,2025-05-02,t,2024-03-14 16:24:40
P000251,Secured multi-tasking leverage Formal,Sunset Styles 3,Formal,,,Men,Winter,Wool,Dry clean only,21,$100-150,2025-06-26,t,2024-12-06 00:19:58
P000252,Versatile solution-oriented access Pants,Fashion Forward,Pants,Tops,Jewelry,Men,Winter,Linen,Machine wash cold,100,$50-100,2025-02-26,t,2023-12-25 02:52:05
P000253,Monitored local encoding Pants,Metro Style 2,Pants,,,Unisex,Summer,Modal,Machine wash cold,58,$50-100,2025-02-05,t,2025-08-29 13:19:55
P000254,Seamless regional encryption Pants,Elite Edge,Pants,Jewelry,,Women,Winter,Denim,Machine wash warm,42,$30-50,2025-03-09,t,2023-10-27 23:39:42
P000255,Inverse homogeneous utilization Activewear,Urban Thread 3,Activewear,Accessories,,Men,Fall,Leather,Machine wash warm,22,$50-100,2024-07-21,t,2023-12-24 01:44:28
P000256,Function-based needs-based success Pants,Bella Vista 2,Pants,,,Men,Fall,Silk,Hand wash,48,$30-50,2023-10-15,f,2024-05-03 16:36:38
P000257,Programmable zero administration hub Accessories,Modern Muse 2,Accessories,Activewear,Formal,Women,Spring,Viscose,Machine wash warm,93,$30-50,2025-06-10,t,2024-10-30 11:42:42
P000258,Profound local matrix Mens Clothing,Modern Muse 3,Mens Clothing,Pants,,Women,Winter,Cashmere,Hand wash,17,$50-100,2024-05-13,t,2023-10-31 01:45:01
P000259,Streamlined content-based Graphic Interface Pants,Trend Tribe,Pants,Yoga,,Women,All Season,Leather,Machine wash warm,61,$50-100,2023-11-28,t,2024-10-30 03:59:15
P000260,Cross-platform composite throughput Formal,Pure Elegance 2,Formal,,,Unisex,Fall,Cotton,Machine wash cold,89,$50-100,2024-11-13,t,2024-11-17 20:52:25
P000261,Adaptive responsive architecture Mens Clothing,Sunset Styles,Mens Clothing,Accessories,Activewear,Men,Fall,Cashmere,Machine wash cold,55,$100-150,2025-02-27,t,2024-03-08 17:32:51
P000437,Phased responsive attitude Yoga,Elite Edge 3,Yoga,Yoga,,Unisex,Spring,Viscose,Hand wash,37,$100-150,2025-04-26,t,2024-09-10 10:11:51
P000262,Self-enabling zero-defect data-warehouse Bottoms,Bella Vista,Bottoms,Formal,,Women,Summer,Modal,Hand wash,57,$50-100,2025-03-11,t,2025-07-29 20:08:55
P000263,Optimized bi-directional database Footwear,Modern Muse 2,Footwear,,,Unisex,Spring,Denim,Machine wash cold,61,$150-200,2025-06-30,t,2024-11-17 16:45:40
P000264,Total user-facing time-frame Jewelry,Chic Collection,Jewelry,,Yoga,Women,Fall,Linen,Dry clean only,58,$150-200,2025-02-09,t,2024-08-30 01:42:57
P000265,Compatible value-added software Footwear,Street Smart 2,Footwear,Bottoms,,Men,Spring,Denim,Machine wash cold,38,$30-50,2023-10-14,t,2024-01-24 10:29:21
P000266,Persevering transitional groupware Bottoms,Modern Muse 3,Bottoms,Accessories,,Men,Summer,Wool,Dry clean only,66,$150-200,2023-12-02,t,2023-10-26 10:32:53
P000267,Compatible actuating conglomeration Tops,Trend Tribe 2,Tops,Jewelry,,Men,Summer,Cashmere,Machine wash warm,23,$50-100,2024-04-08,t,2025-06-04 21:31:58
P000268,Realigned asynchronous orchestration Womens Clothing,Modern Muse 2,Womens Clothing,,,Men,Winter,Cashmere,Dry clean only,0,$30-50,2024-03-20,t,2025-06-26 04:23:25
P000269,Fundamental incremental info-mediaries Pants,Street Smart,Pants,,,Women,All Season,Polyester,Hand wash,23,$30-50,2025-01-27,t,2024-09-11 09:53:16
P000270,Open-architected intermediate functionalities Mens Clothing,Bella Vista 2,Mens Clothing,Pants,,Women,All Season,Denim,Machine wash warm,49,$30-50,2024-07-24,t,2023-10-10 03:09:59
P000271,Synergistic bottom-line monitoring Bottoms,Fashion Forward 2,Bottoms,Footwear,,Women,All Season,Linen,Machine wash cold,75,$50-100,2025-02-05,t,2023-10-01 14:15:36
P000272,Up-sized regional architecture Tops,Metro Style 3,Tops,Mens Clothing,,Women,All Season,Wool,Machine wash warm,49,$50-100,2025-04-27,t,2025-05-06 04:25:22
P000273,Reduced 6thgeneration standardization Tops,Chic Collection 2,Tops,Jewelry,Running,Unisex,All Season,Wool,Machine wash warm,21,$50-100,2023-11-21,t,2025-07-16 20:50:43
P000274,Multi-channeled motivating benchmark Tops,Chic Collection,Tops,Footwear,,Men,Winter,Cotton,Dry clean only,17,$30-50,2025-05-29,t,2024-05-09 03:14:30
P000275,Synergized exuding portal Formal,Classic Craft 2,Formal,Footwear,,Women,Winter,Leather,Machine wash cold,21,$30-50,2024-05-01,t,2023-12-03 04:52:13
P000276,Virtual leadingedge implementation Womens Clothing,Style Studio 2,Womens Clothing,,Womens Clothing,Women,Fall,Viscose,Machine wash warm,21,$30-50,2025-06-25,t,2024-07-29 21:44:27
P000277,Switchable 4thgeneration leverage Yoga,Style Studio 2,Yoga,,,Women,Spring,Modal,Hand wash,34,$30-50,2024-11-13,t,2024-01-26 10:22:36
P000278,Face-to-face client-driven synergy Womens Clothing,Pure Elegance 2,Womens Clothing,,,Women,Spring,Cashmere,Dry clean only,94,$50-100,2025-06-05,t,2024-07-26 16:55:32
P000279,Quality-focused explicit productivity Womens Clothing,Mode Moderne,Womens Clothing,Accessories,,Women,Summer,Polyester,Hand wash,26,$50-100,2024-05-14,t,2024-01-16 22:03:31
P000280,Synergistic upward-trending project Activewear,Modern Muse 3,Activewear,Tops,,Men,Spring,Silk,Hand wash,72,$50-100,2023-10-04,t,2024-07-12 19:57:10
P000281,Reactive next generation circuit Pants,Pure Elegance 2,Pants,Tops,,Women,All Season,Linen,Machine wash cold,34,$100-150,2023-10-28,t,2023-12-31 17:33:57
P000282,Adaptive object-oriented policy Jewelry,Elite Edge,Jewelry,,,Men,Summer,Wool,Dry clean only,31,$30-50,2024-11-16,t,2024-07-29 02:30:41
P000283,Reactive attitude-oriented function Accessories,Modern Muse 3,Accessories,,,Unisex,Summer,Leather,Hand wash,73,$150-200,2025-04-29,t,2024-03-08 03:57:56
P000284,User-centric uniform hardware Jewelry,Bella Vista 3,Jewelry,Bottoms,,Women,Winter,Polyester,Hand wash,65,$30-50,2024-08-11,t,2024-03-09 11:21:31
P000285,Stand-alone multimedia circuit Accessories,Classic Craft 3,Accessories,Footwear,,Unisex,Winter,Polyester,Hand wash,81,$100-150,2024-02-15,t,2024-01-30 00:42:10
P000286,Face-to-face reciprocal extranet Formal,Classic Craft,Formal,Jewelry,,Women,Fall,Denim,Dry clean only,43,$30-50,2023-12-24,t,2024-02-24 22:47:57
P000287,Enterprise-wide static website Footwear,Style Studio 2,Footwear,,,Women,Spring,Cotton,Machine wash warm,80,$50-100,2025-07-18,t,2024-12-10 15:23:50
P000288,Business-focused web-enabled neural-net Bottoms,Urban Thread,Bottoms,,Footwear,Men,Summer,Cashmere,Dry clean only,88,$50-100,2025-02-07,t,2024-09-19 06:54:09
P000289,Reactive asynchronous frame Pants,Urban Thread 3,Pants,Pants,Accessories,Men,Summer,Denim,Machine wash warm,6,$100-150,2023-11-17,t,2025-03-01 17:25:00
P000290,Function-based bandwidth-monitored customer loyalty Pants,Bella Vista 3,Pants,,,Women,Spring,Polyester,Dry clean only,0,$30-50,2024-12-19,t,2025-04-12 14:15:36
P000291,Pre-emptive full-range help-desk Bottoms,Fresh Fashion 2,Bottoms,Mens Clothing,,Men,Fall,Cotton,Machine wash warm,15,$100-150,2025-02-28,t,2024-01-04 14:23:58
P000292,Streamlined disintermediate attitude Tops,Classic Craft 3,Tops,Mens Clothing,,Men,Spring,Polyester,Hand wash,40,$50-100,2025-01-19,t,2024-05-05 11:38:15
P000293,Cloned content-based functionalities Tops,Mode Moderne,Tops,Tops,,Women,All Season,Polyester,Machine wash cold,72,$50-100,2024-09-10,t,2024-10-08 09:24:21
P000294,Managed reciprocal protocol Running,Mode Moderne 2,Running,Accessories,,Men,Winter,Wool,Machine wash warm,78,$30-50,2025-03-17,t,2024-05-21 10:30:00
P000295,Reduced coherent open system Bottoms,Street Smart,Bottoms,,Bottoms,Women,Fall,Cashmere,Hand wash,54,$50-100,2024-07-05,t,2024-12-10 07:22:03
P000296,Intuitive interactive concept Mens Clothing,Elite Edge,Mens Clothing,Bottoms,Activewear,Women,Fall,Modal,Machine wash cold,99,$50-100,2024-05-26,t,2023-09-30 18:22:08
P000297,Fully-configurable zero tolerance definition Pants,Coastal Chic 3,Pants,Activewear,,Women,Spring,Linen,Dry clean only,100,$50-100,2025-04-22,t,2025-04-02 04:39:00
P000298,Stand-alone intermediate focus group Jewelry,Bold Basics 2,Jewelry,Footwear,,Women,Fall,Cotton,Dry clean only,40,$100-150,2024-07-01,t,2025-07-10 13:04:57
P000299,Devolved systematic superstructure Activewear,Classic Craft 2,Activewear,Formal,,Men,Spring,Polyester,Machine wash cold,75,$50-100,2025-08-07,t,2024-06-10 13:04:38
P000300,Polarized maximized knowledge user Pants,Bella Vista,Pants,Womens Clothing,,Men,All Season,Linen,Machine wash warm,98,$50-100,2025-05-19,t,2024-07-01 15:43:27
P000301,Integrated mobile neural-net Yoga,City Casual 2,Yoga,Running,,Women,Spring,Linen,Machine wash cold,39,$50-100,2024-02-09,t,2023-12-20 13:05:00
P000302,Stand-alone real-time artificial intelligence Mens Clothing,Luxe Label 2,Mens Clothing,,Accessories,Men,Fall,Polyester,Machine wash warm,89,$100-150,2024-04-30,t,2025-07-11 20:27:17
P000303,Devolved national customer loyalty Mens Clothing,Sunset Styles 3,Mens Clothing,Bottoms,,Women,All Season,Modal,Hand wash,7,$30-50,2025-04-17,t,2024-04-18 11:20:44
P000304,Self-enabling asynchronous superstructure Yoga,Coastal Chic 3,Yoga,Tops,Yoga,Women,Summer,Cotton,Hand wash,63,$50-100,2025-08-18,t,2023-11-24 13:51:11
P000305,Ameliorated motivating product Formal,Street Smart 2,Formal,,,Men,Fall,Wool,Machine wash cold,93,$50-100,2025-06-18,t,2023-10-21 05:47:55
P000306,Reduced optimal initiative Womens Clothing,Vintage Vibe 3,Womens Clothing,Jewelry,Bottoms,Women,Spring,Modal,Machine wash warm,63,$150-200,2024-12-27,t,2025-05-16 11:13:41
P000307,Extended 5thgeneration neural-net Accessories,Luxe Label 2,Accessories,Activewear,Tops,Men,All Season,Polyester,Machine wash cold,86,$30-50,2024-11-21,t,2024-04-16 10:32:11
P000308,Quality-focused methodical projection Yoga,Pure Elegance,Yoga,Womens Clothing,,Women,Winter,Cotton,Machine wash warm,46,$30-50,2024-01-19,t,2025-05-21 03:01:12
P000309,Multi-lateral hybrid definition Tops,Vintage Vibe,Tops,,,Women,Summer,Cashmere,Dry clean only,41,$30-50,2025-05-17,t,2025-08-19 09:53:46
P000310,Reverse-engineered upward-trending frame Yoga,Sunset Styles 2,Yoga,Bottoms,,Women,Summer,Cotton,Machine wash cold,28,$30-50,2024-09-20,t,2024-01-09 00:01:25
